"Player Name","Age","Position","Pos","Market values","Fee","Team_Name","Club_Logo_URL","Transfer_Type"
"Anirudh ThapaA. Thapa",25,"Central Midfield","CM","<U+20B9>1.8 Cr","<U+20B9>3 Cr","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"Sahal Abdul SamadS. Samad",26,"Attacking Midfield","AM","<U+20B9>2.2 Cr","<U+20B9>90 L","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"Armando SadikuA. Sadiku",32,"Centre-Forward","CF","<U+20B9>5.6 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"Héctor YusteH. Yuste",35,"Centre-Back","CB","<U+20B9>1.6 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"Jason CummingsJ. Cummings",27,"Centre-Forward","CF","<U+20B9>9.6 Cr","?","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"Anwar AliAnwar Ali",22,"Centre-Back","CB","<U+20B9>2.2 Cr","loan transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"Syed ZahidS. Zahid",20,"Goalkeeper","GK","-","-","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Arrivals"
"TiriTiri",31,"Centre-Back","CB","<U+20B9>2.4 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Nongdamba NaoremN. Naorem",23,"Left Winger","LW","<U+20B9>40 L","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Avilash PaulA. Paul",28,"Goalkeeper","GK","<U+20B9>20 L","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Carl McHughC. McHugh",30,"Defensive Midfield","DM","<U+20B9>3.2 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Federico GallegoF. Gallego",33,"Attacking Midfield","AM","<U+20B9>1.6 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Ricky John ShabongR. Shabong",20,"Defensive Midfield","DM","<U+20B9>80 L","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Pritam KotalP. Kotal",29,"Right-Back","RB","<U+20B9>2.2 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Slavko DamjanovicS. Damjanovic",30,"Centre-Back","CB","<U+20B9>1.6 Cr","free transfer","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"PuiteaPuitea",25,"Central Midfield","CM","<U+20B9>1 Cr","?","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Florentin PogbaF. Pogba",33,"Centre-Back","CB","<U+20B9>2 Cr","-","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
"Joni KaukoJ. Kauko",32,"Central Midfield","CM","<U+20B9>2.4 Cr","-","Mohun Bagan Super Giant","https://www.indiansuperleague.com/static-assets/images/club/1874.png?v=100.33","Departures"
